model,n_qubits,depth,grad_var_mean,grad_var_std
B6-Global,2,25,0.05235065133494207,0.007374673955638797
B6-Global,4,1,0.030148182338238478,0.014016741309166763
B6-Global,4,2,0.010961124861234394,0.004758267791149654
B6-Global,4,3,0.006693790568019594,0.003538458104144026
B6-Global,4,4,0.01433878658610522,0.004901086856048233
B6-Global,4,5,0.011771952195210914,0.0017496942828258216
B6-Global,4,10,0.013960486322458429,0.001847317719979561
B6-Global,4,15,0.011030178823540718,0.0008917402057484886
B6-Global,4,20,0.01837952169985407,0.004623918194530893
B6-Global,4,25,0.009129480397893327,0.0021580892918135193
B6-Global,6,1,0.0012092823318348817,0.0008180588607385258
B6-Global,6,2,0.001154499671411475,0.0006095185269078595
B6-Global,6,3,0.0004456327053771771,0.00016180433595201296
B6-Global,6,4,0.0007767848890495055,0.00033512209570334876
B6-Global,6,5,0.0010284759517419212,0.00045189848201444084
B6-Global,6,10,0.0008423099613592727,0.00035240564423469085
B6-Global,6,15,0.0009455265542631519,0.00030077055241673086
B6-Global,6,20,0.0006515465239426132,0.00018708320551930497
B6-Global,6,25,0.0008960378363296862,0.00024059659510602263
B6-Global,8,1,0.0001653837331234906,0.00010334618928481814
B6-Global,8,2,8.065085825685785e-06,1.812138463984415e-06
B6-Global,8,3,3.076152730319934e-05,1.812305450900776e-05
B6-Global,8,4,5.010570747471276e-05,2.2007020634377014e-05
B6-Global,8,5,5.6183798492145363e-05,2.6931638205753338e-05
B6-Global,8,10,3.8703455979294204e-05,5.364560412450184e-06
B6-Global,8,15,7.159903950962537e-05,1.0700019636902814e-05
B6-Global,8,20,2.8531560369102332e-05,8.484239731646391e-06
B6-Global,8,25,3.9451158283483155e-05,1.6003380301783462e-05
B6-Global,10,1,5.09686040663697e-05,6.404653205258564e-05
B6-Global,10,2,6.141739189241384e-06,3.1906218122762106e-06
B6-Global,10,3,2.480082472399697e-06,2.1584238249912174e-06
B6-Global,10,4,3.43620359670985e-06,1.5148148763527558e-06
B6-Global,10,5,1.1649367788843541e-06,3.815921191425708e-07
B6-Global,10,10,3.7327198085098708e-06,8.038300642985952e-07
B6-Global,10,15,3.1152997264356758e-06,2.339966755681531e-06
B6-Global,10,20,3.700944568636883e-06,5.572873467056052e-07
B6-Global,10,25,5.4001547858362004e-06,5.118118662868421e-07
B6-Global,12,1,8.654815836379462e-07,9.25001804180319e-07
B6-Global,12,2,2.5681917363558606e-07,3.326012091565364e-07
B6-Global,12,3,1.78977158783585e-07,8.879315710315445e-08
B6-Global,12,4,3.720226325884498e-07,2.1244100996901225e-07
B6-Global,12,5,4.4608774840121016e-07,4.086107212759485e-07
