model,init_strategy,seed,gradient
B5-ResQNet,narrow,1,-0.0004452202051285747
B5-ResQNet,narrow,2,-4.514179068953474e-06
B5-ResQNet,narrow,3,-2.844489108573548e-05
B5-ResQNet,narrow,4,2.6503314504387953e-05
B5-ResQNet,narrow,5,-1.7340347498566533e-07
B5-ResQNet,narrow,6,0.0008996486178047598
B5-ResQNet,narrow,7,1.4484503897402807e-05
B5-ResQNet,narrow,8,-0.0012766265345797868
B5-ResQNet,narrow,9,-0.0003626556086444288
B5-ResQNet,narrow,10,1.4454653942564388e-05
B5-ResQNet,narrow,11,7.683541414490953e-05
B5-ResQNet,narrow,12,1.968920796097411e-05
B5-ResQNet,narrow,13,1.9299095362898973e-05
B5-ResQNet,narrow,14,6.408768402770122e-07
B5-ResQNet,narrow,15,-1.139334608901652e-05
B5-ResQNet,narrow,16,2.7970340782298727e-05
B5-ResQNet,narrow,17,0.0015206687926727798
B5-ResQNet,narrow,18,2.4984489437599837e-05
B5-ResQNet,narrow,19,-6.200947145189996e-05
B5-ResQNet,narrow,20,0.0005969839543904614
B5-ResQNet,narrow,21,8.426247353537825e-05
B5-ResQNet,narrow,22,0.005226995808877389
B5-ResQNet,narrow,23,4.78119590473545e-05
B5-ResQNet,narrow,24,2.6965907808136786e-05
B5-ResQNet,identity,0,0.0
B5-ResQNet,identity,1,0.0
B5-ResQNet,identity,2,0.0
B5-ResQNet,identity,3,0.0
B5-ResQNet,identity,4,0.0
B5-ResQNet,identity,5,0.0
B5-ResQNet,identity,6,0.0
B5-ResQNet,identity,7,0.0
B5-ResQNet,identity,8,0.0
B5-ResQNet,identity,9,0.0
B5-ResQNet,identity,10,0.0
B5-ResQNet,identity,11,0.0
B5-ResQNet,identity,12,0.0
B5-ResQNet,identity,13,0.0
B5-ResQNet,identity,14,0.0
B5-ResQNet,identity,15,0.0
B5-ResQNet,identity,16,0.0
B5-ResQNet,identity,17,0.0
B5-ResQNet,identity,18,0.0
B5-ResQNet,identity,19,0.0
B5-ResQNet,identity,20,0.0
B5-ResQNet,identity,21,0.0
B5-ResQNet,identity,22,0.0
B5-ResQNet,identity,23,0.0
B5-ResQNet,identity,24,0.0
B5-ResQNet,normal,0,-0.003850619914092059
B5-ResQNet,normal,1,-0.0038212697914288855
B5-ResQNet,normal,2,0.004082631126165347
B5-ResQNet,normal,3,0.009124397201831627
B5-ResQNet,normal,4,-0.0006814938153877995
B5-ResQNet,normal,5,4.955251710538111e-05
B5-ResQNet,normal,6,0.0003476445017657153
B5-ResQNet,normal,7,1.5787469249440482e-05
B5-ResQNet,normal,8,-0.01400304780689812
B5-ResQNet,normal,9,-0.0024713315430863227
B5-ResQNet,normal,10,0.011520422924148717
B5-ResQNet,normal,11,-0.0003587351433399561
B5-ResQNet,normal,12,5.730234181656811e-05
B5-ResQNet,normal,13,-0.007785982437739592
B5-ResQNet,normal,14,0.002375880766093557
B5-ResQNet,normal,15,-7.827069632257349e-06
B5-ResQNet,normal,16,-3.6525721336481407e-06
B5-ResQNet,normal,17,-0.0037683041135117886
B5-ResQNet,normal,18,0.009917461773890877
B5-ResQNet,normal,19,-0.0005727192367867078
B5-ResQNet,normal,20,-0.029971685847999537
B5-ResQNet,normal,21,0.00569729580520101
B5-ResQNet,normal,22,0.004079281846050685
B5-ResQNet,normal,23,-5.213982649724632e-05
B5-ResQNet,normal,24,-8.166778064363741e-05
B6-Global,uniform,0,6.653399102672938e-07
B6-Global,uniform,1,1.72208314827731e-05
B6-Global,uniform,2,-9.003731581390827e-05
B6-Global,uniform,3,2.242115277901245e-08
B6-Global,uniform,4,-2.0314185467696004e-07
B6-Global,uniform,5,-4.984624675030544e-07
B6-Global,uniform,6,2.3952868161622053e-06
B6-Global,uniform,7,-9.721414074276805e-06
B6-Global,uniform,8,-4.745327749114664e-06
B6-Global,uniform,9,4.635140835607905e-07
B6-Global,uniform,10,3.9831732998600356e-07
B6-Global,uniform,11,0.0022811448786765392
B6-Global,uniform,12,-8.712333606268995e-07
B6-Global,uniform,13,4.375708033142784e-07
B6-Global,uniform,14,-4.709121597115167e-06
B6-Global,uniform,15,-4.271073236115031e-06
B6-Global,uniform,16,0.000263948467154736
B6-Global,uniform,17,-8.739212694387642e-05
B6-Global,uniform,18,1.1377868232296441e-07
B6-Global,uniform,19,-6.339241450867504e-05
B6-Global,uniform,20,4.6010817775437215e-08
B6-Global,uniform,21,-1.0495576887182113e-08
B6-Global,uniform,22,1.2896673675940108e-08
B6-Global,uniform,23,-0.007761036205596041
B6-Global,uniform,24,2.5597032915239424e-06
B6-Global,narrow,0,-0.0014660652627060387
B6-Global,narrow,1,-3.979882844034499e-05
B6-Global,narrow,2,0.0001414438622289043
B6-Global,narrow,3,2.246212489078061e-05
B6-Global,narrow,4,1.4202506181875783e-05
B6-Global,narrow,5,1.6866484222643096e-05
B6-Global,narrow,6,-0.0005225402519712762
B6-Global,narrow,7,5.345130999749947e-05
B6-Global,narrow,8,2.9264755702083846e-05
B6-Global,narrow,9,-0.00012378336652349694
B6-Global,narrow,10,-0.009027399186074498
B6-Global,narrow,11,0.00015217424555607543
B6-Global,narrow,12,6.020446981603101e-07
B6-Global,narrow,13,-0.00014784093636910657
B6-Global,narrow,14,-0.006882561095822981
B6-Global,narrow,15,-0.03675644816925751
B6-Global,narrow,16,1.2440497071305655e-06
B6-Global,narrow,17,-6.015670786468676e-05
B6-Global,narrow,18,1.474797336243533e-08
B6-Global,narrow,19,8.387594275898926e-05
B6-Global,narrow,20,-0.00029653567638258043
B6-Global,narrow,21,-4.6119714687336275e-07
B6-Global,narrow,22,-0.0003586463445172363
B6-Global,narrow,23,0.00035401194389056813
B6-Global,narrow,24,-1.4880600388341099e-05
B6-Global,identity,0,1.115164324687701e-19
B6-Global,identity,1,-5.140174577369121e-21
B6-Global,identity,2,-9.770450297552521e-25
B6-Global,identity,3,1.8585537807703035e-22
B6-Global,identity,4,-1.9765978392176643e-22
B6-Global,identity,5,-4.026558220335057e-21
B6-Global,identity,6,3.952981836541103e-21
B6-Global,identity,7,0.0
B6-Global,identity,8,-5.784663605708956e-20
B6-Global,identity,9,1.828383865988876e-19
B6-Global,identity,10,-6.157722587017006e-19
B6-Global,identity,11,9.272866249046192e-20
B6-Global,identity,12,1.3577719476001747e-20
B6-Global,identity,13,-3.1774166103762556e-20
B6-Global,identity,14,1.248558344400431e-19
B6-Global,identity,15,-4.915159546182975e-21
B6-Global,identity,16,1.1170414016249458e-21
B6-Global,identity,17,1.1715130210475966e-20
B6-Global,identity,18,-1.095772515529975e-23
B6-Global,identity,19,-1.010009353295308e-20
B6-Global,identity,20,4.822316003819404e-20
B6-Global,identity,21,6.864409209642704e-26
B6-Global,identity,22,9.640697318163534e-20
B6-Global,identity,23,8.324991804019204e-27
B6-Global,identity,24,-1.0710205496990312e-22
B6-Global,normal,0,-5.934180629668294e-05
B6-Global,normal,1,-1.5421208988351576e-06
B6-Global,normal,2,9.869420817338368e-08
B6-Global,normal,3,-1.1685214870876179e-08
B6-Global,normal,4,0.002386289287021773
B6-Global,normal,5,2.6600827838103564e-09
B6-Global,normal,6,0.00012364757164655925
B6-Global,normal,7,5.17352211631994e-06
B6-Global,normal,8,1.6333005599868536e-07
B6-Global,normal,9,-1.2146540577978291e-06
B6-Global,normal,10,-3.3664190728576215e-06
B6-Global,normal,11,-4.571557093078146e-05
