model,theta,cost
B7-Glob96,0.638968,0.00010351808467948194
B7-Glob96,0.745463,9.376694273546921e-05
B7-Glob96,0.851957,8.27820976429894e-05
B7-Glob96,0.958452,7.100440415778081e-05
B7-Glob96,1.064947,5.890226193763914e-05
B7-Glob96,1.171441,4.695117075145188e-05
B7-Glob96,1.277936,3.561305050058157e-05
B7-Glob96,1.384431,2.5316251476748323e-05
B7-Glob96,1.490925,1.6437148219555114e-05
B7-Glob96,1.59742,9.284138015594526e-06
B7-Glob96,1.703915,4.0847557765834345e-06
B7-Glob96,1.810409,9.764756931870006e-07
B7-Glob96,1.916904,1.6030774578897376e-09
B7-Glob96,2.023399,1.1064747307933924e-06
B7-Glob96,2.129893,4.144991372764046e-06
B7-Glob96,2.236388,8.886309943779143e-06
B7-Glob96,2.342883,1.5026335795993813e-05
B7-Glob96,2.449377,2.220248339708493e-05
B7-Glob96,2.555872,3.0011026932356062e-05
B7-Glob96,2.662367,3.802624575087741e-05
B7-Glob96,2.768861,4.582048921647116e-05
B7-Glob96,2.875356,5.2984244818872965e-05
B7-Glob96,2.981851,5.914529420439059e-05
B7-Glob96,3.088345,6.39860840517028e-05
B7-Glob96,3.19484,6.725852052513364e-05
B7-Glob96,3.301335,6.879551367481504e-05
B7-Glob96,3.407829,6.851874629071126e-05
B7-Glob96,3.514324,6.644231364634515e-05
B7-Glob96,3.620819,6.26720685036679e-05
B7-Glob96,3.727313,5.740070118414799e-05
B7-Glob96,3.833808,5.089877859561482e-05
B7-Glob96,3.940303,4.35021500530198e-05
B7-Glob96,4.046797,3.559629321596589e-05
B7-Glob96,4.153292,2.7598312993214045e-05
B7-Glob96,4.259787,1.9937413514612836e-05
B7-Glob96,4.366281,1.3034733383709131e-05
B7-Glob96,4.472776,7.283464218451159e-06
B7-Glob96,4.579271,3.0301606049871687e-06
B7-Glob96,4.685765,5.580965569905158e-07
B7-Glob96,4.79226,7.343177790043402e-08
B7-Glob96,4.898755,1.6948246065044373e-06
B7-Glob96,5.005249,5.446973194204077e-06
B7-Glob96,5.111744,1.1258389230146857e-05
B7-Glob96,5.218239,1.8963517404471838e-05
B7-Glob96,5.324733,2.8309117416037928e-05
B7-Glob96,5.431228,3.8964632564252784e-05
B7-Glob96,5.537723,5.0536088528197575e-05
B7-Glob96,5.644217,6.258290598767131e-05
B7-Glob96,5.750712,7.463687851338648e-05
B7-Glob96,5.857207,8.622246862906898e-05
B7-Glob96,5.963701,9.687751458707843e-05
B7-Glob96,6.070196,0.00010617342093801875
B7-Glob96,6.176691,0.00011373392830356179
B7-Glob96,6.283185,0.00011925162088234341
