model,theta1,theta2,cost
QCN,2.617994,3.665191,0.22494777740014185
QCN,2.879793,3.665191,0.23592003140216436
QCN,3.141593,3.665191,0.24309460918089854
QCN,3.403392,3.665191,0.24570000995389366
QCN,3.665191,3.665191,0.2434474965466321
QCN,3.926991,3.665191,0.23658056386073148
QCN,4.18879,3.665191,0.22583423239508263
QCN,4.45059,3.665191,0.21231340187866513
QCN,4.712389,3.665191,0.19731772836890138
QCN,4.974188,3.665191,0.18215170739733855
QCN,5.235988,3.665191,0.1679600616476222
QCN,5.497787,3.665191,0.15561993848942368
QCN,5.759587,3.665191,0.1457052465384674
QCN,6.021386,3.665191,0.13851910066765916
QCN,6.283185,3.665191,0.13417299104047078
QCN,0.0,3.926991,0.09779972866519648
QCN,0.261799,3.926991,0.09735633705017184
QCN,0.523599,3.926991,0.09956600084006241
QCN,0.785398,3.926991,0.1046336834032549
QCN,1.047198,3.926991,0.11292041078857555
QCN,1.308997,3.926991,0.12472939438162316
QCN,1.570796,3.926991,0.14005280422021354
QCN,1.832596,3.926991,0.1583587651053972
QCN,2.094395,3.926991,0.17849030856852718
QCN,2.356194,3.926991,0.19871995488751384
QCN,2.617994,3.926991,0.2169627068560235
QCN,2.879793,3.926991,0.23110741291253079
QCN,3.141593,3.926991,0.23939320196010358
QCN,3.403392,3.926991,0.24074302130964464
QCN,3.665191,3.926991,0.23497433048951769
QCN,3.926991,3.926991,0.22283580454992713
QCN,4.18879,3.926991,0.20586104421455975
QCN,4.45059,3.926991,0.18607478951059755
QCN,4.712389,3.926991,0.1656223737521976
QCN,4.974188,3.926991,0.14640998513249712
QCN,5.235988,3.926991,0.12983746869960422
QCN,5.497787,3.926991,0.11667866575701542
QCN,5.759587,3.926991,0.10712394673855234
QCN,6.021386,3.926991,0.1009565117929593
QCN,6.283185,3.926991,0.09779972866519647
QCN,0.0,4.18879,0.07777320587566436
QCN,0.261799,4.18879,0.0777992394512181
QCN,0.523599,4.18879,0.0789560968346264
QCN,0.785398,4.18879,0.08183789317233155
QCN,1.047198,4.18879,0.08744973244575834
QCN,1.308997,4.18879,0.09681727204559189
QCN,1.570796,4.18879,0.11053952800733519
QCN,1.832596,4.18879,0.12841649316213796
QCN,2.094395,4.18879,0.14926578661697723
QCN,2.356194,4.18879,0.1709936104126679
QCN,2.617994,4.18879,0.1909177556250148
QCN,2.879793,4.18879,0.20627232972083645
QCN,3.141593,4.18879,0.214773545471496
QCN,3.403392,4.18879,0.2151069171746667
QCN,3.665191,4.18879,0.20721382136050534
QCN,3.926991,4.18879,0.19230511253011362
QCN,4.18879,4.18879,0.1725982881919219
QCN,4.45059,4.18879,0.15084443082067753
QCN,4.712389,4.18879,0.1297634282249224
QCN,4.974188,4.18879,0.11152705779139549
QCN,5.235988,4.18879,0.0974140027673091
QCN,5.497787,4.18879,0.08771309146430502
QCN,5.759587,4.18879,0.08188393131672297
QCN,6.021386,4.18879,0.07891567499231197
QCN,6.283185,4.18879,0.07777320587566436
QCN,0.0,4.45059,0.07921049560395593
QCN,0.261799,4.45059,0.07925124138050024
QCN,0.523599,4.45059,0.07794863844683313
QCN,0.785398,4.45059,0.0763363189778291
QCN,1.047198,4.45059,0.07613938537111112
QCN,1.308997,4.45059,0.07922404900380084
QCN,1.570796,4.45059,0.08697399724550813
QCN,1.832596,4.45059,0.09976901267062938
QCN,2.094395,4.45059,0.1167158127309409
QCN,2.356194,4.45059,0.13571463907064554
QCN,2.617994,4.45059,0.1538555275814435
QCN,2.879793,4.45059,0.1680494160132877
QCN,3.141593,4.45059,0.17573511222752702
QCN,3.403392,4.45059,0.17548091998870177
QCN,3.665191,4.45059,0.16732548546957912
QCN,3.926991,4.45059,0.15276944999274245
QCN,4.18879,4.45059,0.13442000881124708
QCN,4.45059,4.45059,0.1153804366949981
QCN,4.712389,4.45059,0.0985421511178675
QCN,4.974188,4.45059,0.08596058215502732
QCN,5.235988,4.45059,0.07847181954750583
QCN,5.497787,4.45059,0.07564134815364154
QCN,5.759587,4.45059,0.07604683443105688
QCN,6.021386,4.45059,0.0778078544827722
QCN,6.283185,4.45059,0.07921049560395595
QCN,0.0,4.712389,0.10147713069046105
QCN,0.261799,4.712389,0.10133128531228375
QCN,0.523599,4.712389,0.09705309667818814
QCN,0.785398,4.712389,0.09002408237063597
QCN,1.047198,4.712389,0.08255688147366431
QCN,1.308997,4.712389,0.077246334138578
QCN,1.570796,4.712389,0.07623371548142759
QCN,1.832596,4.712389,0.08058403044348646
QCN,2.094395,4.712389,0.08994655896561167
QCN,2.356194,4.712389,0.10259329410424134
QCN,2.617994,4.712389,0.11582875838442279
QCN,2.879793,4.712389,0.12666501403779173
QCN,3.141593,4.712389,0.13258421805807125
QCN,3.403392,4.712389,0.13218698982000657
QCN,3.665191,4.712389,0.1255546530552846
QCN,3.926991,4.712389,0.11422915665105608
QCN,4.18879,4.712389,0.10081593784597397
QCN,4.45059,4.712389,0.08831504808552164
QCN,4.712389,4.712389,0.07935777243943565
QCN,4.974188,4.712389,0.075550531093619
QCN,5.235988,4.712389,0.07709852797031122
QCN,5.497787,4.712389,0.08280630354346234
QCN,5.759587,4.712389,0.09045125896533447
QCN,6.021386,4.712389,0.09742644040750426
QCN,6.283185,4.712389,0.10147713069046109
QCN,0.0,4.974188,0.13837410140139397
QCN,0.261799,4.974188,0.13813681321393614
QCN,0.523599,4.974188,0.1313894783518154
QCN,0.785398,4.974188,0.11965726917283537
QCN,1.047198,4.974188,0.1055364081531448
QCN,1.308997,4.974188,0.09203581749667948
QCN,1.570796,4.974188,0.081823678867844
QCN,1.832596,4.974188,0.0765771888616577
QCN,2.094395,4.974188,0.0766053340147616
QCN,2.356194,4.974188,0.08084084364403514
QCN,2.617994,4.974188,0.08719838295876046
QCN,2.879793,4.974188,0.09319808729969957
QCN,3.141593,4.974188,0.09668294800905013
QCN,3.403392,4.974188,0.09643422136465335
QCN,3.665191,4.974188,0.09251741076333019
QCN,3.926991,4.974188,0.08626479301217448
QCN,4.18879,4.974188,0.0798991654869811
